entry_time,exit_time,side,entry_ndx,exit_ndx,exit_reason,pnl_pts
2026-05-07 10:01:00.006469-04:00,2026-05-07 11:05:49.866620-04:00,LONG,28677.30,28763.92,TSL,86.62
2026-05-07 12:38:52.004899-04:00,2026-05-07 13:08:31.367567-04:00,SHORT,28608.00,28587.99,MANUAL,20.01
