entry_time,exit_time,side,entry_ndx,exit_ndx,exit_reason,pnl_pts
2026-05-08 11:20:49.290079-04:00,2026-05-08 11:42:14.204236-04:00,LONG,29045.27,29072.38,MANUAL,27.11
2026-05-08 11:47:34.213416-04:00,2026-05-08 12:31:06.049742-04:00,LONG,29101.00,29123.83,MANUAL,22.83
