entry_time,exit_time,side,entry_ndx,exit_ndx,exit_reason,pnl_pts
2026-05-14 10:35:55.555953-04:00,2026-05-14 13:14:40.649154-04:00,LONG,29538.63,29566.05,TSL,27.42
2026-05-14 15:22:51.635559-04:00,2026-05-14 15:28:57.735919-04:00,LONG,29626.72,29595.78,SL,-30.94
